City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
40,Luderitz,NA,2021-10-22 01:23:22,-26.6481,15.1594,55.53,87,11,8.21
41,Broken Hill,AU,2021-10-22 01:19:38,-31.95,141.4333,78.87,25,0,3.56
42,Dongsheng,CN,2021-10-22 01:19:26,39.8161,109.9776,38.84,33,100,4.47
43,Puerto Ayora,EC,2021-10-22 01:23:23,-0.7393,-90.3518,70.27,87,57,7.49
44,Geraldton,AU,2021-10-22 01:23:23,-28.7667,114.6,68.41,49,0,16.11
45,Saint-Georges,GD,2021-10-22 01:19:27,12.0564,-61.7485,83.88,74,20,17.27
46,Callaway,US,2021-10-22 01:19:27,30.153,-85.5699,76.98,87,90,1.99
47,Longyearbyen,SJ,2021-10-22 01:23:24,78.2186,15.6401,15.64,86,20,6.91
48,Inhambane,MZ,2021-10-22 01:19:28,-23.865,35.3833,69.22,72,100,9.28
49,Cabedelo,BR,2021-10-22 01:19:28,-6.9811,-34.8339,81.27,78,99,9.62
50,Sandy Bay,AU,2021-10-22 01:19:29,-42.913,147.3532,69.06,64,75,5.01
51,Lompoc,US,2021-10-22 01:20:12,34.6391,-120.4579,66.56,86,1,10.36
52,Mar Del Plata,AR,2021-10-22 01:23:25,-38.0023,-57.5575,64.42,86,0,17.0
53,Ostrovnoy,RU,2021-10-22 01:23:25,68.0531,39.5131,34.52,75,100,17.02
54,Port Elizabeth,ZA,2021-10-22 01:22:09,-33.918,25.5701,63.1,94,90,6.91
55,Bulgan,MN,2021-10-22 01:23:26,48.8125,103.5347,33.93,42,3,2.46
56,Mataura,NZ,2021-10-22 01:22:05,-46.1927,168.8643,66.88,37,0,2.19
57,Chateaubelair,VC,2021-10-22 01:19:30,13.2833,-61.25,81.21,74,100,18.95
58,Port Alfred,ZA,2021-10-22 01:22:33,-33.5906,26.891,65.35,81,100,2.39
59,Japura,ID,2021-10-22 01:19:30,-0.3167,102.35,79.0,86,91,1.12
60,Beringovskiy,RU,2021-10-22 01:19:31,63.05,179.3167,18.72,85,100,13.38
61,Saskylakh,RU,2021-10-22 01:23:27,71.9167,114.0833,-0.44,100,98,3.27
62,Nishihara,JP,2021-10-22 01:19:31,26.1842,127.7558,70.88,86,90,16.11
63,Dajal,PK,2021-10-22 01:19:31,29.5577,70.3762,75.72,34,0,11.43
64,Puga,MX,2021-10-22 01:19:32,21.5833,-104.8167,72.5,98,32,3.71
65,Jamestown,US,2021-10-22 01:20:09,42.097,-79.2353,60.12,91,75,10.0
66,Bodden Town,KY,2021-10-22 01:19:32,19.2833,-81.25,82.92,87,20,5.99
67,Cape Town,ZA,2021-10-22 01:19:47,-33.9258,18.4232,61.09,74,75,5.99
68,Georgetown,MY,2021-10-22 01:23:28,5.4112,100.3354,82.33,82,20,4.61
69,Avarua,CK,2021-10-22 01:23:28,-21.2078,-159.775,77.05,61,93,9.22
70,Hamilton,US,2021-10-22 01:17:21,39.1834,-84.5333,56.12,75,1,3.0
71,Hermanus,ZA,2021-10-22 01:23:29,-34.4187,19.2345,61.81,74,100,15.99
72,Pevek,RU,2021-10-22 01:23:29,69.7008,170.3133,12.6,90,100,13.2
73,Ponta Do Sol,PT,2021-10-22 01:23:30,32.6667,-17.1,70.43,65,46,5.14
74,Road Town,VG,2021-10-22 01:19:34,18.4167,-64.6167,84.2,71,9,19.13
75,Klaksvik,FO,2021-10-22 01:22:18,62.2266,-6.589,40.12,67,97,33.04
76,Artyom,AZ,2021-10-22 01:19:34,40.4723,50.333,57.34,78,27,21.12
77,Baghdad,IQ,2021-10-22 01:19:35,33.3406,44.4009,67.91,28,0,11.5
78,Razole,IN,2021-10-22 01:19:35,16.4833,81.8333,79.09,83,99,3.53
